Kategori,Nama Varietas,Nomor Seleksi,Asal Seleksi,Umur Tanaman,Bentuk Tanaman,Tinggi Tanaman,Daun Bendera,Bentuk Gabah,Warna Gabah,Kerontokan,Kerebahan,Tekstur Nasi,Kadar Amilosa,Berat 1000 Butir,Rata-rata Hasil,Potensi Hasil,Ketahanan Hama,Ketahanan Penyakit,Anjuran Tanam,Tahun Dilepas
Padi Sawah,MUSTABAN AGRITAN,-,"Varietas Kewal Arjuna diradiasi sinar gamma pada dosis 0,20 kGy dengan sumber Co60",118 hari setelah semai,Tegak,105 cm,Tegak,Ramping,Kuning bersih,Sedang,Tahan rebah,Pulen,"13,13%","27,17 gram","6,59 t/ha GKG","10,86 t/ha GKG",Agak tahan terhadap wereng batang coklat biotipe 3,"Tahan terhadap penyakit hawar daun bakteri patotipe III, agak tahan patotipe IV dan VIII. Agak tahan penyakit blas ras 033",Baik ditanam pada lahan sawah dataran rendah sampai 600 mdpl,2017
Padi Sawah,SILIWANGI AGRITAN,CRS1274,IR40750/OM1490,111 hari setelah semai,Tegak,111 cm,Tegak,Panjang ramping,Kuning bersih,Sedang,Tahan,Pulen,"21,2%","26,4 gram","7,4 t/ha GKG","10,7 t/ha GKG","Agak tahan wereng coklat biotipe 1,2, dan 3","Tahan terhadap hawar daun bakteri patotipe III, rentan hawar daun bakteri patotipe IV dan VIII, tahan terhadap blas ras 033, 073, dan 133",Baik ditanam pada lahan sawah irigasi dataran rendah sampai ketinggian 600 mdpl,2018
Padi Sawah,PADJADJARAN AGRITAN,BP19562B-WBC-1-7-1,Inpari 5/IR66,105 hari setelah semai,Agak tegak,97 cm,Agak tegak,Ramping,Kuning jerami,Sedang,Toleran,Pulen,"20,6%",26 gram,"7,8 t/ha GKG","11,0 t/ha GKG","Agak tahan terhadap wereng batang coklat biotipe 1, dan 2. Agak rentan wereng batang coklat biotipe 3","Agak tahan terhadap penyakit hawar daun bakteri strain III, rentan hawar daun bakteri strain IV dan VIII",Baik ditanam pada lahan sawah irigasi dataran rendah sampai 600 mdpl,2018
Padi Sawah,CAKRABUANA AGRITAN,BP17280M-27D-SKI-1-3-IND-1,"Iradiasi Sinar Gamma Co60 dosis 0,1 kGy terhadap Inpari 13",104 hari setelah semai,Tegak,105 cm,Tegak,Panjang ramping,Kuning bersih,Sedang,Sedang,Pulen,"22,0%","27,1 gram","7,5 t/ha GKG","10,2 t/ha GKG","Agak tahan wereng batang coklat biotipe 1, 2, dan 3","Agak tahan terhadap penyakit HDB strain III, rentan hawar daun bakteri strain IV dan VIII. Tahan penyakit blas ras 033, dan 173. Agak tahan penyakit tungro inoculum Purwakarta",Baik ditanam pada lahan sawah irigasi dataran rendah dan menengah sampai ketinggian 600 mdpl,2018
Padi Sawah,BAROMA,B13727C-MR-2-4-4-7-1,B10532E-KN-38-2-LR-B387-3/Pusa Basmati 5,113 hari setelah semai,Tegak,112 cm,Tegak,Ramping panjang,Kuning jerami,Sedang,Sedang,Pera,"25,55%","26,67 gram","6,01 t/ha GKG","9,18 t/ha GKG","Agak tahan WBC biotipe 1, agak rentan WBC biotipe 2 dan rentan WBC biotipe 3","Agak tahan HDB kelompok III, tahan HDB kelompok IV dan VIII. Agak tahan blas ras 033, rentan blas ras 133 dan 073, dan tahan blas ras 173. Agak rentan tungro",Baik ditanam untuk lahan sawah irigasi pada ketinggian 0-600 mdpl,2019
Padi Sawah,PAMELEN,B12344-3D-PN-37-6,IR64*2/O. rofipogon 102186,112 Hari setelah semai,Tegak,97 cm,Tegak,Ramping,Kuning jerami,Sedang,Toleran,Pulen,"18,6%","26,35 gram","6,73 t/ha GKG","11,91 t/ha GKG","Agak tahan WBC biotipe 1, agak rentan WBC biotipe 2 dan 3","Agak tahan HDB kelompok III, IV dan VIII. Tahan blas ras 033, agak tahan blas ras 133, 073 dan 173. Tahan tungro",Baik ditanam untuk lahan sawah irigasi pada ketinggian 0-600 mdpl,2019
Padi Sawah,PAMERA,B13840E-MR-39-2-3-1,Pusa Basmati 4/HB118( PN III)//Pusa Basmati 4/Pandan wangi Cianjur///Bahbutong,113 hari setelah semai,Tegak,106 cm,Tegak,Ramping,Kuning jerami,Sedang,Tahan rebah,Sedang,"21,1%","27,83 gram","6,43 t/ha GKG","11,33 t/ha GKG","Agak tahan WBC biotipe 1, 2, dan 3","Tahan HDB kelompok III dan VIII, agak tahan HDB kelompok IV. Tahan blas ras 033 dan 173, agak tahan blas ras 133 dan 073. Agak rentan tungro",Baik ditanam untuk lahan sawah irigasi pada ketinggian 0-600 mdpl,2019
Padi Sawah,PAKETIH,B13486D-4-1-PN-2-MR-3-1-11,Ketan Hitam/Pandan Wangi Cianjur,118 Hari setelah semai,Tegak,107 cm,Tegak,Ramping,Kuning jerami,Sedang,Tahan Rebah,Ketan,"4,4%","25,5 gram","6,32 t/ha GKG","9,46 t/ha GKG","Agak tahan WBC biotipe 1, agak rentan WBC biotipe 2 dan 3","Tahan HDB kelompok III, IV dan VIII. Tahan blas ras 073 dan 173, agak tahan blas ras 033 dan 133. Rentan tungro",Baik ditanam untuk lahan sawah irigasi pada ketinggian 0-600 mdp,2019
Padi Sawah,JELITENG,B13486D-4-1-PN-2-MR-3-3-3,Ketan Hitam/Pandan Wangi Cianjur,113 hari setelah semai,Tegak,106 cm,Tegak,Ramping,Kuning jerami,Sedang,Tahan rebah,Pulen,"19,6%","24,4 gram","6,18 t/ha GKG","9,87 t/ha GKG","Agak tahan WBC 1, agak rentan WBC 2 dan 3","Tahan HDB IV, agak tahan HDB III dan VIII. Tahan blas ras 033 dan 073, agak tahan blas ras 133 dan 073. Rentan tungro",Baik ditanam untuk lahan sawah irigasi pada ketinggian 0-600 mdpl,2019
Padi Sawah,INPARI IR NUTRI ZINC,IR97477-115-CRB-0-SKI-1-SKI-0-2,IR91153-AC 82/IR05F102//IR68144-2B-2-2-3-166///IRRI145,115 Hari setelah semai,Tegak,95 cm,Sedang,Ramping,Kuning jerami,Sedang,Sedang,Pulen,"16,60%","24,60 gram","6,21 t/ha GKG","9,98 t/ha GKG","Agak tahan WBC biotipe 1, 2, dan agak rentan WBC biotipe 3","Agak tahan HDB patotipe III, rentan patotipe IV dan VIII pada stadia vegetative dan generatif. Tahan blas ras 033, 073, 133, dan rentan blas 173. Agak tahan tungro inokulum garut dan Purwakarta",Baik ditanam untuk lahan sawah irigasi pada ketinggian 0-600 m dpl,2019
Padi Sawah,INPARI 45 DIRGAHAYU,BP14352E-1-2-30P-JK-IND,Cibogo/Ciherang,116 hari setelah semai,Tegak,120 cm,Tegak,Ramping,Kuning jerami,Sedang,Medium,Pulen,"12,40%","27,8 gram","7,1 t/ha GKG","9,5 t/ha GKG","Agak tahan WBC biotipe 1, 2, dan 3","Tahan HDB patotipe III dan VIII, agak rentan HDB patotipe IV. Rentan blas strain 033, 073, 133, dan 173. Agak tahan tungro inokulum Purwakarta dan rentan inokulum Garut",Cocok ditanam pada lahan sawah irigasi dataran rendah (0-600 mdpl),2019
Padi Sawah,MANTAP,BH125D-SKI-15-3-2-4,Bio 12/RHS412-1CX-20X-02H,116 hari setelah semai,Tegak,120 cm,Tegak,Ramping,Kuning,Sedang,Agak tahan,Pulen,"12,68%","27,2 gram","7,2 t/ha GKG","9,1 t/ha GKG","Agak tahan wereng coklat biotipe 1, 2, dan 3","Tahan terhadap HDB patotipe III dan VIII, agak rentan HDB patotipe IV, rentan terhadap blas ras 033, 073, 133, dan 173, agak tahan terhadap tungro inokulasi Garut dan Purwakarta",Dianjurkan ditanam mengikuti kaidah PTT pada lahan sawah irigasi,2019
Padi Sawah,INPARI 46 GSR TDH,HHZ5-DT1-DT1,Huanghuazhan/OM1723// Huanghuazhan,111 hari setelah semai,Tegak,"101,5 cm",Sedang,Ramping,Kuning jerami,Sedang,Sedang,Pulen,"17,46%","23,80 gram","6,74 t/ha GKG","9,08 t/ha GKG",Agak tahan terhadap WBC biotipe 1 dan agak rentan biotipe 2 dan biotipe 3,"Tahan terhadap HDB patotipe III dan agak tahan terhadap patotipe IV dan VIII, Tahan terhadap penyakit blas ras 133 dan agak tahan terhadap ras 033, 073, dan 173, rentan terhadap tungro inokulum Garut dan Purwakarta",Baik ditanam untuk lahan sawah tadah hujan pada ketinggian 0 - 600 mdpl,2019
Padi Sawah,INPARI DIGDAYA,PR40781b-SKI-9-1-SBY-0-CRB-0,Hanareumbyeo/Dular,119 hari setelah semai,Tegak,120 cm,Tegak,Ramping,Kuning jerami,Sedang,Sedang,Pulen,14.10%,26.60 gram,7.92 t/ha GKG,9.50 t/ha GKG,"Agak tahan terhadap wereng batang coklat biotipe 1, biotipe 2, dan biotipe 3",Agak tahan terhadap hawar daun bakteri patotipe III dan IV,Baik ditanam untuk lahan sawah irigasi pada ketinggian 0 - 600 mdpl,2019
