Kategori,Nama Varietas,Nomor Seleksi,Asal Seleksi,Umur Tanaman,Bentuk Tanaman,Tinggi Tanaman,Daun Bendera,Bentuk Gabah,Warna Gabah,Kerontokan,Kerebahan,Tekstur Nasi,Kadar Amilosa,Berat 1000 Butir,Rata-rata Hasil,Potensi Hasil,Ketahanan Hama,Ketahanan Penyakit,Anjuran Tanam,Tahun Dilepas
Padi Sawah,BK SITUBONDO 02 AGRITAN,BP119978-JK-1-IND-2-SKI-0-PWK-1-SKI-4-3-PWK-1-SKI-1,HHZ 9/Inpari 13//inpari 13,107 hari setelah semai,Tegak,102 cm,"Miring (pada kondisi lahan subur daun bendera panjang, sebagian helai daun terkulai)",Ramping,Kuning jerami,Sedang,-,Pulen,"20,30%","25,75 gram","7,89 ton/ha",9.59 ton/ha,"Agak tahan terhadap wereng batang cokelat biotipe 1, 2 dan 3.","Agak tahan penyakit hawar daun bakteri patotipe III sangat rentan terhadap patotipe III dan VIII. Agak tahan penyakit blas ras 033, 073 dan 133, rentan terhadap ras 173. Rentan terhadap tungro inokulum Garut dan Purwakarta",Penanaman mengikuti kaidah budidaya padi lahan sawah irigasi mellaui pengelolaan tanaman terpadu (PTT),2023
Padi Hibrida,MARO,H2,A1/R2,113 hari,Tegak,98 cm,Tegak,Ramping,Kuning bersih,Sedang,Tahan,Pulen,22.80%,26 gram,6.24 t/ha GKG,8.85 t/ha GKG,Rentan WBC biotipe 2 dan 3,Rentan HDB patotipe III dan IV,Lahan sawah irigasi non-endemik tungro & WBC,2002
Padi Hibrida,ROKAN,H1,A1/R1,115 hari,Tegak,107 cm,Tegak,Ramping,Kuning bersih,Sedang,Tahan,Pulen,23.10%,27 gram,6.44 t/ha GKG,9.24 t/ha GKG,Rentan WBC biotipe 2 dan 3,Peka HDB patotipe III dan IV,Lahan sawah irigasi non-endemik tungro & WBC,2002
Padi Hibrida,HIPA 3,H4,A1/R3,116-120 hari,Tegak,96-105 cm,Tegak,Ramping,Kuning jerami,Mudah,Tahan,Sedang,23.00%,23-25 gram,8.5 t/ha,11.67 t/ha,Agak tahan WBC biotipe 2,Agak tahan HDB patotipe IV dan VIII; agak tahan tungro,Sawah irigasi dengan kaidah PTT,2004
Padi Hibrida,HIPA 12 SBU,H178,GMJ6A/PK89,105 hari setelah semai,Tegak,�104.4 cm,Tegak,Ramping,Kuning jerami,Sedang,Tahan,Pulen,23.20%,�26.5 gram,7.7 t/ha GKG,10.5 t/ha GKG,Agak tahan WBC biotipe 2 dan 3,Rentan HDB patotipe VIII; agak tahan III; rentan tungro,Lahan irigasi dengan PTT,2011
Padi Hibrida,HIPA 20,H263,GMJ12A/CRS849,115 hari setelah semai,Tegak,�112 cm,Tegak,Ramping,Kuning,Sedang,Agak tahan,Pulen,22.89%,�26.9 gram,�9.54 t/ha GKG,12.08 t/ha GKG,Agak tahan WBC biotipe 1; 2 & 3,Agak tahan HDB IV & VIII; tahan blas ras 073,Lahan sawah irigasi,2019
Padi Gogo,SITU PATENGGANG,BP1153-C-9-12,Kartuna/TB47H-MR-10,110-120 hari setelah tanam,Tegak,100-110 cm,Menyudut,Agak gemuk,Krem tua,Sedang,Tahan,Sedang,23.93%,26.5-27.5 gram,3.6-5.6 t/ha GKG,-,Tahan terhadap blas,Lahan kering; tumpangsari < 300 mdpl,2003,
Padi Gogo,SITU BAGENDIT,S4325d-1-2-3-1,Batur/S2823-7d-8-1-A//S2823-7d-8-1-A,110-120 hari,Tegak,99-105 cm,Tegak,Panjang ramping,Kuning bersih,Sedang,Sedang,Pulen,22%,27-28 gram,3-5 t/ha GKG,-,Agak tahan terhadap blas & HDB III & IV,Lahan kering dan lahan sawah,2003,
Padi Gogo,INPAGO 4,TB490C-TB-1-2-1,Batutegi/Cigeulis//Ciherang,124 hari,Tegak,�134 cm,Mendatar,Lonjong,Kuning jerami,Sedang,Sedang,Pulen,21.90%,25 gram,4.1 t/ha GKG,6.1 t/ha GKG,-,Tahan terhadap beberapa ras penyakit blas,Lahan kering subur; Podzolik masam,2010
Padi Gogo,INPAGO 13 FORTIZ,B12498F-MR-1-6,IR68886/BP68*10//Selegreng///Maninjau/Asahan,114 hari setelah semai,Tegak,�124 cm,Miring,Sedang,Kuning jerami,Sedang,-,Medium,�21.56%,�24.6 gram,�6.53 t/ha GKG,8.11 t/ha GKG,Agak tahan WBC biotipe 1; agak rentan biotipe 2 & 3,Tahan blas ras 073; 133; toleran Al 40 ppm,Lahan kering subur & masam < 700 mdpl,2020
Padi Rawa,INPARA 1,B9852E-KA-66,Batang Ombilin/IR9884-54-3,131 hari,Tegak,111 cm,Tegak,Sedang,Kuning,Sedang,Sedang,Pera,27.93%,23.25 gram,5.65 t/ha GKG (lebak),6.47 t/ha GKG,Agak tahan WBC biotipe 1 dan 2,Tahan hawar daun bakteri & blas; toleran Fe/Al,Rawa lebak dan pasang surut,2008
Padi Rawa,INPARA 3,IR70213-9-CPA-12-UBN-2-1-3-1,IR69256/IR43524-55-1-3-2,127 hari,Tegak,108 cm,Tegak,Sedang,Kuning,Sedang,Sedang,Pera,28.60%,25.7 gram,4.6 t/ha GKG,5.6 t/ha GKG,Agak tahan WBC biotipe 3,Tahan blas 101; 123; 141; 373; rentan HDB,Rawa lebak; pasang surut potensial,2008
Padi Rawa,INPARA 8 AGRITAN,BP11377F-MR-34-2,B10597F-KN-18/B10600F-KN-7,115 hari setelah sebar,Tegak,�107 cm,Tegak,Medium,Kuning,Sedang,Tahan,Pera,28.50%,27.2 gram,4.7 t/ha GKG,6.0 t/ha GKG,Agak rentan WBC biotipe 1;2; rentan biotipe 3,Tahan HDB patotipe III; agak tahan IV & VIII,Rawa pasang surut; lebak dangkal,2014
Padi Rawa,PURWA,TDK1-Sub1-MR-1-2 (IR07F289),TDK1/IR40931//3*TDK1,121 hari,Tegak,�105 cm,Tegak,Ramping,Kuning jerami,Sedang,Tahan,Ketan,3.80%,�28.8 gram,4.9 t/ha GKG,6.7 t/ha GKG,Agak rentan WBC biotipe 1; 2; dan 3,Tahan HDB III generatif; tahan blas; rentan tungro,Rawa pasang surut dan lebak,2018
